,車站編號,車站名稱,Station,交會路線
1,BL23,南港展覽館,Taipei Nangang Exhibition Center,文湖線 基隆捷運
2,BL22,南港,Nangang,台灣高鐵 台灣高鐵 臺灣鐵路縱貫線 北宜新線 基隆捷運
3,BL21,昆陽,Kunyang,
4,BL20,後山埤（五分埔商圈）,Houshanpi(Wufenpu Commercial Zone),
5,BL20,後山埤（五分埔商圈）,Houshanpi(Wufenpu Commercial Zone),
6,BL19,永春,Yongchun,環狀線 （東環段）
7,BL18,市政府,Taipei City Hall,
8,BL17,國父紀念館,Sun Yat-Sen Memorial Hall,
9,BL17,國父紀念館,Sun Yat-Sen Memorial Hall,
10,BL16,忠孝敦化,Zhongxiao Dunhua,
11,BL15,忠孝復興,Zhongxiao Fuxing,文湖線
12,BL14,忠孝新生（台北科大）,Zhongxiao Xinsheng(National Taipei University of Technology),中和新蘆線
13,BL14,忠孝新生（台北科大）,Zhongxiao Xinsheng(National Taipei University of Technology),中和新蘆線
14,BL13,善導寺（華山）,Shandao Temple(Huashan),
15,BL12,台北車站,Taipei Main Station,台灣高鐵 台灣高鐵 臺灣鐵路縱貫線 淡水信義線 松山新店線：北門（站外轉乘） 機場線（站外轉乘）
16,BL11,西門,Ximen,松山新店線
17,BL11,西門,Ximen,松山新店線
18,BL10,龍山寺（艋舺商圈）,Longshan Temple（Bangka Commercial Zone）,臺灣鐵路縱貫線：萬華（站外轉乘）
19,BL09,江子翠,Jiangzicui,
20,BL08,新埔,Xinpu,環狀線：新埔民生（站外轉乘）
21,BL07,板橋,Banqiao,台灣高鐵 台灣高鐵 臺灣鐵路縱貫線 環狀線（站外轉乘[註 6]）
22,BL06,府中（林家花園）,Fuzhong(The Lin Family Mansion and Garden),
23,BL05,亞東醫院,Far Eastern Hospital,
24,BL04,海山,Haishan,
25,BL03,土城,Tucheng,萬大樹林線
26,BL02,永寧,Yongning,萬大樹林線：埤塘（站外轉乘）
27,BL01,頂埔,Dingpu,三鶯線
