,車站編號,車站名稱,Station,交會路線
1,BR24,南港展覽館,Taipei Nangang Exhibition Center,板南線
2,BR23,南港軟體園區,Nangang Software Park,
3,BR22,東湖,Donghu,民生汐止線
4,BR21,葫洲,Huzhou,
5,BR20,大湖公園,Dahu Park,
6,BR19,內湖,Neihu,
7,BR18,文德（碧湖公園）,Wende(Bihu Park),
8,BR17,港墘,Gangqian,
9,BR16,西湖（德明科大）,Xihu(Takming University),
10,BR15,劍南路（美麗華）,Jiannan Road(Miramar),環狀線
11,BR14,大直（實踐大學）,Dazhi(Shih Chien University),
12,BR13,松山機場,Songshan Airport,
13,BR12,中山國中,Zhongshan Junior High School,民生汐止線：北大台北校區站（站外轉乘）
14,BR11,南京復興,Nanjing Fuxing,松山新店線
15,BR10,忠孝復興,Zhongxiao Fuxing,板南線
16,BR09,大安,Daan,淡水信義線
17,BR08,科技大樓,Technology Building,
18,BR07,六張犁,Liuzhangli,
19,BR06,麟光,Linguang,
20,BR05,辛亥,Xinhai,
21,BR04,萬芳醫院,Wanfang Hospital,
22,BR03,萬芳社區,Wanfang Community,
23,BR02,木柵,Muzha,
24,BR01,動物園,Taipei Zoo,環狀線 深坑輕軌（站外轉乘） 貓空纜車（站外轉乘）
