,車站編號,車站名稱,Station,交會路線
1,G19,松山,Songshan,臺灣鐵路縱貫線 環狀線 （東環段）（站外轉乘）
2,G19,松山,Songshan,臺灣鐵路縱貫線 環狀線 （東環段）（站外轉乘）
3,G18,南京三民,Nanjing Sanmin,
4,G17,台北小巨蛋,Taipei Arena,
5,G16,南京復興,Nanjing Fuxing,文湖線
6,G16,南京復興,Nanjing Fuxing,文湖線
7,G15,松江南京,Songjiang Nanjing,中和新蘆線
8,G14,中山,Zhongshan,淡水信義線
9,G14,中山,Zhongshan,淡水信義線
10,G13,北門（大稻埕南）,Beimen(Dadaocheng South),臺灣鐵路縱貫線：臺北（站外轉乘） 台灣高鐵 台灣高鐵：臺北（站外轉乘） 淡水信義線：臺北車站（站外轉乘） 板南線：臺北車站（站外轉乘） 機場線：臺北車站（站外轉乘）
11,G12,西門,Ximen,板南線
12,G12,西門,Ximen,板南線
13,G11,小南門,Xiaonanmen,
14,G10,中正紀念堂（南門）,Chiang Kai-Shek Memorial Hall(Nanmen),淡水信義線 萬大-中和-樹林線
15,G09,古亭,Guting,中和新蘆線
16,G08,台電大樓,Taipower Building,
17,G07,公館（台灣大學）,Gongguan(National Taiwan University),
18,G06,萬隆,Wanlong,
19,G05,景美,Jingmei,
20,G04,大坪林,Dapinglin,環狀線
21,G03,七張,Qizhang,小碧潭支線
22,G03,七張,Qizhang,小碧潭支線
23,G02,新店區公所,Xindian District Office,
24,G01,新店（碧潭）,Xindian(Bitan),
25,G03A,小碧潭（新店高中）,Xiaobitan(Xindian Senior High School),
