,車站編號,車站名稱,Station,交會路線
1,O54,蘆洲（蘆洲李宅）,Luzhou(Luzhou Lee Family Historic Estate),五股泰山輕軌
2,O53,三民高中（空中大學）,Sanmin Senior High School(National Open University),
3,O52,徐匯中學,Saint Ignatius High School,環狀線
4,O51,三和國中,Sanhe Junior High School,
5,O50,三重國小,Sanchong Elementary School,
6,O21,迴龍（樂生）,Huilong/Lo-sheng,萬大-中和-樹林線 棕線
7,O20,丹鳳,Danfeng,
8,O19,輔大,Fu Jen University,
9,O18,新莊（新莊廟街）,Xinzhuang(Xinzhuang Temple Street),
10,O17,頭前庄（臺北醫院）,Touqianzhuang(Taipei Hospital),環狀線
11,O16,先嗇宮,Xianse Temple,
12,O15,三重,Sanchong,機場線（站外轉乘）
13,O14,菜寮（新北市立醫院）,Cailiao(New Taipei City Hospital),
14,O13,台北橋,Taipei Bridge,
15,O12,大橋頭（大橋國小）,Daqiaotou(Daqiao Elementary School),新莊線（台北橋～迴龍） 蘆洲線（三重國小～蘆洲） 社子南北線
16,O12,大橋頭（大橋國小）,Daqiaotou(Daqiao Elementary School),新莊線（台北橋～迴龍） 蘆洲線（三重國小～蘆洲） 社子南北線
17,O11,民權西路,Minquan West Road,淡水信義線
18,O11,民權西路,Minquan West Road,淡水信義線
19,O10,中山國小（晴光商圈）,Zhongshan Elementary School(Qingguang Commercial Zone),
20,O09,行天宮,Xingtian Temple,民生汐止線
21,O08,松江南京,Songjiang Nanjing,松山新店線
22,O07,忠孝新生（台北科大）,Zhongxiao Xinsheng(National Taipei University of Technology),板南線
23,O06,東門,Dongmen,淡水信義線
24,O05,古亭,Guting,松山新店線
25,O04,頂溪,Dingxi,
26,O03,永安市場,Yongan Market,
27,O03,永安市場,Yongan Market,
28,O02,景安,Jingan,環狀線
29,O01,南勢角,Nanshijiao,
